symbol,avg_cost,shares,total_return
CRM,225.16,24,-1.17%
PFE,39.71,120,-7.69%
NEE,73.64,48,4.71%
LLY,167.18,20,1%
AAPL,132.93,20,-0.17%
VRTX,237.1,10,-0.32%
COST,372.36,6,1.19%
NVDA,519.75,5,0.27%
DXCM,352.64,10,4.84%
NVTA,45.76,50,-8.86%
AMT,222.21,10,1.01%
