symbol,avg_cost,shares,total_return
CRM,225.16,24,-0.91%
DXCM,357.29,13,2.86%
PFE,39.71,120,-8.34%
NEE,73.64,48,14.18%
NVDA,524.78,7,4.83%
COST,374.16,9,-3.25%
AAPL,132.93,20,2.57%
VRTX,237.1,10,0.65%
ONEM,48.32,45,6.49%
ADBE,462.43,5,2.02%
AMT,222.21,10,0.00%
MO,41.66,40,0.73%
SEDG,308.52,5,2.81%
AVLR,166.6,10,-1.29%
