Security Ticker,Security Description
EXTR,Extreme Networks Inc
SRCE,1St Source Corp
MCS,Marcus Corp/The
TRST,Trustco Bank Corp N Y
ARCB,Arcbest Corp
RTRX,Retrophin Inc
USCR,Us Concrete Inc
ASTE,Astec Industries Inc
ANGO,Angiodynamics Inc
TPC,Tutor Perini Corp
ECPG,Encore Capital Group Inc
EPZM,Epizyme Inc
GPRO,Gopro Inc
UVSP,Univest Corp Of Pennsylvania
LBRT,Liberty Oilfield Services Inc
MDGL,Madrigal Pharmaceuticals Inc
MOD,Modine Manufacturing Co
CMO,Capstead Mortgage Corp
MTSI,M/A-Com Technology Solutions Holdings Inc
PRSC,Providence Service Corp
CHEF,Chefs Warehouse Inc/The
EPRT,Essential Properties Realty Trust Inc
CCS,Century Communities Inc
HAFC,Hanmi Financial Corp
COHU,Cohu Inc
MMI,Marcus & Millichap Inc
IRET,Investors Real Estate Trust
NSTG,Nanostring Technologies Inc
HMST,Homestreet Inc
CASH,Meta Financial Group Inc
CCF,Chase Corp
RYAM,Rayonier Advanced Materials Inc
AGX,Argan Inc
AGM,Federal Agricultural Mortgage Corp
CAC,Camden National Corp
COOP,Mr Cooper Group Inc
PLAN,Anaplan Inc
ALDR,Alder Biopharmaceuticals Inc
TRTX,Tpg Re Finance Trust Inc
UPLD,Upland Software Inc
EVOP,Evo Payments Inc-Class A
RMAX,Re/Max Holdings Inc
TDW,Tidewater Inc
LABL,Multi-Color Corp
TYPE,Monotype Imaging Holdings Inc
CASS,Cass Information Systems Inc
MGNX,Macrogenics Inc
SKY,Skyline Champion Corp
GLT,P H Glatfelter Co
PFBC,Preferred Bank
CNOB,Connectone Bancorp Inc
GABC,German American Bancorp Inc
DMRC,Digimarc Corp
JAG,Jagged Peak Energy Inc
VECO,Veeco Instruments Inc
TXMD,Therapeuticsmd Inc
HSTM,Healthstream Inc
UBNK,United Financial Bancorp Inc
NR,Newpark Resources Inc
OPK,Opko Health Inc
CBLK,Carbon Black Inc
DRNA,Dicerna Pharmaceuticals Inc
ALLO,Allogene Therapeutics Inc
UBA,Urstadt Biddle Properties Inc
VCYT,Veracyte Inc
APLS,Apellis Pharmaceuticals Inc
INFN,Infinera Corp
JBSS,John B Sanfilippo & Son Inc
FIZZ,National Beverage Corp
ARQL,Arqule Inc
HT,Hersha Hospitality Trust
NFBK,Northfield Bancorp Inc
ADUS,Addus Homecare Corp
ORIT,Oritani Financial Corp
NE,Noble Corp Plc
TRUE,Truecar Inc
EVRI,Everi Holdings Inc
APTS,Preferred Apartment Communities Inc
CTBI,Community Trust Bancorp Inc
CHCT,Community Healthcare Trust Inc
TR,Tootsie Roll Industries Inc
HSII,Heidrick & Struggles Intl Inc
ECHO,Echo Global Logistics Inc
HUD,Hudson Ltd
BLX,Banco Latinoamericano De Comercio Exterior Sa
PARR,Par Petroleum Corp
CDE,Coeur Mining Inc
BFS,Saul Centers Inc
CRVL,Corvel Corp
FFG,Fbl Financial Group Inc
QNST,Quinstreet Inc
LION,Fidelity Southern Corp
ATNI,Atlantic Tele-Network Inc
CUBI,Customers Bancorp Inc
TCDA,Tricida Inc
MTW,Manitowoc Company Inc
GSBC,Great Southern Bancorp Inc
PAHC,Phibro Animal Health Corp
UNT,Unit Corp
DCOM,Dime Community Bancshares Inc
REGI,Renewable Energy Group Inc
CARA,Cara Therapeutics Inc
VICR,Vicor Corp
GLDD,Great Lakes Dredge & Dock Corp
MYE,Myers Industries Inc
IPHS,Innophos Holdings Inc
HBNC,Horizon Bancorp
PLAB,Photronics Inc
NVEE,Nv5 Holdings Inc
ACLS,Axcelis Technologies Inc
EGRX,Eagle Pharmaceuticals Inc
GOOD,Gladstone Commercial Corp
DOMO,Domo Inc - Class B
GMS,Gms Inc
GLOG,Gaslog Ltd
BRY,Berry Petroleum Corp
NEWM,New Media Investment Group Inc
SCHN,Schnitzer Steel Industries Inc
NWLI,National Western Life Insurance Co
BANC,Banc Of California Inc
FRO,Frontline Ltd
FFIC,Flushing Financial Corp
ITCI,Intra-Cellular Therapies Inc
UNFI,United Natural Foods Inc
GPRE,Green Plains Renewable Energy Inc
NTRA,Natera Inc
WLH,William Lyon Homes
PSDO,Presidio Inc
STML,Stemline Therapeutics Inc
DXPE,Dxp Enterprises Inc
FDEF,First Defiance Financial Corp
OBNK,Origin Bancorp Inc
DO,Diamond Offshore Drilling Inc
UEIC,Universal Electronics Inc
JOE,St. Joe Co
KOP,Koppers Holdings Inc
FBK,Fb Financial Corp
GRC,Gorman-Rupp Co
OSUR,Orasure Technologies Inc
FOSL,Fossil Group Inc
NCMI,National Cinemedia Inc
INTL,Intl Fcstone Inc
PQG,Pq Group Holdings Inc
TALO,Talos Energy Inc
ZIOP,Ziopharm Oncology Inc
PEBO,Peoples Bancorp Inc
RGS,Regis Corp
ALLK,Allakos Inc
STFC,State Auto Financial Corp
KBAL,Kimball Intl Inc
BMRC,Bank Of Marin Bancorp
ATNX,Athenex Inc
HY,Hyster-Yale Materials Handling Inc
TSC,Tristate Capital Holdings Inc
STAR,Istar Financial Inc
GFF,Griffon Corp
ANIP,Ani Pharmaceuticals Inc
ANIK,Anika Therapeutics Inc
WVE,Wave Life Sciences Ltd
ORBC,Orbcomm Inc
MOV,Movado Group Inc
SPTN,Spartannash Co
MSBI,Midland States Bancorp Inc
FLIC,First Of Long Island Corp
CRMT,America'S Car-Mart Inc
HSKA,Heska Corp
CPLG,Corepoint Lodging Inc
SRDX,Surmodics Inc
LASR,Nlight Inc
KEYW,Keyw Holding Corp
RESI,Front Yard Residential Corp
NTLA,Intellia Therapeutics Inc
NX,Quanex Building Products Corp
FFWM,First Foundation Inc
MBWM,Mercantile Bank Corp
BKE,Buckle Inc
ZIXI,Zix Corp
WSC,Willscot Corp
WAIR,Wesco Aircraft Holdings Inc
TTEC,Teletech Holdings Inc
MYRG,Myr Group Inc
NPK,National Presto Industries Inc
CMTL,Comtech Telecommunications Corp
CEVA,Ceva Inc
BBSI,Barrett Business Services Inc
LPI,Laredo Petroleum Inc
ETH,Ethan Allen Interiors Inc
UCTT,Ultra Clean Holdings Inc
EZPW,Ezcorp Inc
FLWS,1-800-Flowers.Com Inc
PVAC,Penn Virginia Corp
SXC,Suncoke Energy Inc
PGC,Peapack-Gladstone Financial Corp
FCBC,First Community Bancshares Inc
VKTX,Viking Therapeutics Inc
FRAC,Keane Group Inc
KLXE,Klx Energy Services Holdings Inc
AEGN,Aegion Corp
VYGR,Voyager Therapeutics Inc
DCO,Ducommun Inc
CWEN.A,Clearway Energy Inc
RST,Rosetta Stone Inc
VRAY,Viewray Inc
AXDX,Accelerate Diagnostics Inc
DHT,Dht Holdings Inc
RDNT,Radnet Inc
RUBY,Rubius Therapeutics Inc
ICHR,Ichor Holdings Ltd
ACOR,Acorda Therapeutics Inc
PLUG,Plug Power Inc
FORR,Forrester Research Inc
GTS,Triple-S Management Corp
TGTX,Tg Therapeutics Inc
MTRX,Matrix Service Co
DFIN,Donnelley Financial Solutions Inc
UIS,Unisys Corp
CIR,Circor Intl Inc
TBBK,Bancorp Inc
WTTR,Select Energy Services Inc-A
AGS,Playags Inc
AKBA,Akebia Therapeutics Inc
PEI,Pennsylvania Reit
AOBC,American Outdoor Brands Corp
BDGE,Bridge Bancorp Inc
EBF,Ennis Inc
VSTO,Vista Outdoor Inc
CBTX,Cbtx Inc
MNOV,Medicinova Inc
HLIT,Harmonic Inc
MODN,Model N Inc
YETI,Yeti Holdings Inc
WMC,Western Asset Mortgage Capital Corp
BV,Brightview Holdings Inc
WTI,W&T Offshore Inc
HTBK,Heritage Commerce Corp
APEI,American Public Education Inc
QADA,Qad Inc
OSPN,Onespan Inc
LORL,Loral Space & Communications Inc
THFF,First Financial Corp
RVNC,Revance Therapeutics Inc
GTHX,G1 Therapeutics Inc
REX,Rex American Resources Corp
BGG,Briggs & Stratton Corp
ZUMZ,Zumiez Inc
SAH,Sonic Automotive Inc
CTT,Catchmark Timber Trust Inc
MCRI,Monarch Casino & Resort Inc
SPN,Superior Energy Services Inc
KURA,Kura Oncology Inc
RECN,Resources Connection Inc
SOI,Solaris Oilfield Infrast-A
WSR,Whitestone Reit
AHT,Ashford Hospitality Trust Inc
CONN,Conns Inc
MITT,Ag Mortgage Investment Trust Inc
PDLI,Pdl Biopharma Inc
VIVO,Meridian Bioscience Inc
NCBS,Nicolet Bankshares Inc
TISI,Team Inc
DHIL,Diamond Hill Investment Group Inc
RBCAA,Republic Bancorp Inc
NRCIA,National Research Corp
AVD,American Vanguard Corp
CORR,Corenergy Infrastructure Trust Inc
PI,Impinj Inc
SPWR,Sunpower Corp
FET,Forum Energy Technologies Inc
IBCP,Independent Bank Corp
MCFT,Mastercraft Boat Holdings Inc
CIO,City Office Reit Inc
SNR,New Senior Investment Group Inc
PFSI,Pennymac Financial Services
CTRL,Control4 Corp
CWH,Camping World Holdings Inc
IMGN,Immunogen Inc
CAMP,Calamp Corp
RC,Ready Capital Corp
TG,Tredegar Corp
RCKT,Rocket Pharmaceuticals Inc
LMAT,Lemaitre Vascular Inc
FMBH,First Mid-Illinois Bancshares Inc
CTMX,Cytomx Therapeutics Inc
QCRH,Qcr Holdings Inc
UMH,Umh Properties Inc
NOG,Northern Oil And Gas Inc
EXTN,Exterran Corp
COWN,Cowen Group Inc-Class A
PUB,People'S Utah Bancorp
FISI,Financial Institutions Inc
PETQ,Petiq Inc
PGNX,Progenics Pharmaceuticals Inc
BCEI,Bonanza Creek Energy Inc
UCFC,United Community Financial Corp
WINA,Winmark Corp
PRMW,Primo Water Corp
RRGB,Red Robin Gourmet Burgers Inc
CHS,Chico'S Fas Inc
RARX,Ra Pharmaceuticals Inc
KREF,Kkr Real Estate Finance Trus
VEC,Vectrus Inc
PRTA,Prothena Corp Plc
ACBI,Atlantic Capital Bancshares Inc
OLP,One Liberty Properties Inc
HTBI,Hometrust Bancshares Inc
RAD,Rite Aid Corp
AKRX,Akorn Inc
CYRX,Cryoport Inc
YORW,York Water Co
OPB,Opus Bank
ATRS,Antares Pharma Inc
LOB,Live Oak Bancshares Inc
CLNE,Clean Energy Fuels Corp
TOWR,Tower Intl Inc
TPB,Turning Point Brands Inc
MOBL,Mobileiron Inc
OXFD,Oxford Immunotec Global Plc
GLYC,Glycomimetics Inc
FI,Frank'S Intl Nv
ABTX,Allegiance Bancshares Inc
BHB,Bar Harbor Bankshares
JCP,J C Penney Co Inc
WSBF,Waterstone Financial Inc
CRBP,Corbus Pharmaceuticals Holdi
CCNE,Cnb Financial Corp Inc
COLL,Collegium Pharmaceutical Inc
EIDX,Eidos Therapeutics Inc
PRTY,Party City Holdco Inc
SRNE,Sorrento Therapeutics Inc
CYTK,Cytokinetics Inc
DX,Dynex Capital Inc
AROW,Arrow Financial Corp
VPG,Vishay Precision Group Inc
PETS,Petmed Express Inc
NVEC,Nve Corp
DVAX,Dynavax Technologies Corp
INSW,International Seaways Inc-Wi
JOUT,Johnson Outdoors Inc
ANH,Anworth Mortgage Asset Corp
HAYN,Haynes Intl Inc
CAI,Cai Intl Inc
SSTI,Shotspotter Inc
OLBK,Old Line Bancshares Inc
HCKT,Hackett Group Inc
RILY,B. Riley Financial Inc
CNXN,Pc Connection Inc
HCCI,Heritage-Crystal Clean Inc
ACRE,Ares Commercial Real Estate Corp
JCAP,Jernigan Capital Inc
CENX,Century Aluminum Co
BSTC,Biospecifics Technologies Corp
RMR,Rmr Group Inc A
LTS,Ladenburg Thalmann Financial Services Inc
GNMK,Genmark Diagnostics Inc
AMNB,American National Bankshares Inc
TLRD,Tailored Brands Inc
DERM,Dermira Inc
RYTM,Rhythm Pharmaceuticals Inc
KE,Kimball Electronics Inc
IMKTA,Ingles Markets Inc
FBMS,First Bancshares Inc/Ms
VHC,Virnetx Holding Corp
BHR,Braehmar Hotels & Resorts Inc
TRC,Tejon Ranch Co
FLDM,Fluidigm Corp
PDVW,Pdvwireless Inc
MPAA,Motorcar Parts Of America Inc
AMSWA,American Software Inc
ERII,Energy Recovery Inc
CHUY,Chuy'S Holdings Inc
OSBC,Old Second Bancorp Inc
FIXX,Homology Medicines Inc
BSRR,Sierra Bancorp
ACHN,Achillion Pharmaceuticals Inc
AMAG,Amag Pharmaceuticals Inc
RIGL,Rigel Pharmaceuticals Inc
LDL,Lydall Inc
MAXR,Maxar Technologies Inc
TMST,Timkensteel Corp
NNBR,Nn Inc
FMNB,Farmers National Banc Corp
WMK,Weis Markets Inc
HWKN,Hawkins Inc
TPIC,Tpi Composites Inc
HIBB,Hibbett Sports Inc
FPRX,Five Prime Therapeutics Inc
PDFS,Pdf Solutions Inc
IIIN,Insteel Industries Inc
WLDN,Willdan Group Inc
HZO,Marinemax Inc
MITK,Mitek Systems Inc
FF,Futurefuel Corp
MBIN,Merchants Bancorp/In
EIGI,Endurance Intl Group Holdings Inc
ARAY,Accuray Inc
CBB,Cincinnati Bell Inc
TTGT,Techtarget Inc
CNSL,Consolidated Communications Holdings Inc
MLR,Miller Industries Inc
TACO,Del Taco Restaurants Inc
EQBK,Equity Bancshares Inc
CSTE,Caesarstone Ltd
KIDS,Orthopediatrics Corp
FSB,Franklin Financial Network Inc
REVG,Rev Group Inc
LL,Lumber Liquidators Holdings Inc
MEET,Meet Group Inc
ADVM,Adverum Biotechnologies Inc
BCOV,Brightcove Inc
RCUS,Arcus Biosciences Inc
HVT,Haverty Furniture Cos Inc
XAN,Exantas Capital Corp
IPI,Intrepid Potash Inc
SCVL,Shoe Carnival Inc
TRXC,Transenterix Inc
LIND,Lindblad Expeditions Holdings Inc
LMNR,Limoneira Co
QUAD,Quad/Graphics Inc
INO,Inovio Pharmaceuticals Inc
CIA,Citizens Inc
ASMB,Assembly Biosciences Inc
HOFT,Hooker Furniture Corp
FRPH,Frp Holdings Inc
CZNC,Citizens & Northern Corp
DGII,Digi Intl Inc
WTBA,West Bancorp Inc
NSSC,Napco Security Technologies
CETV,Central European Media Enterprises Ltd
DPLO,Diplomat Pharmacy Inc
GHL,Greenhill & Co Inc
ATEN,A10 Networks Inc
CRAI,Cra Intl Inc
AKCA,Akcea Therapeutics Inc
SPAR,Spartan Motors Inc
BBX,Bbx Capital Corp
CPSI,Computer Programs And Systems Inc
LLNW,Limelight Networks Inc
ALBO,Albireo Pharma Inc
CSV,Carriage Services Inc
NINE,Nine Energy Service Inc
CRCM,Care.Com Inc
KIN,Kindred Biosciences Inc
USAT,Usa Technologies Inc
XON,Intrexon Corp
FLXN,Flexion Therapeutics Inc
CATO,Cato Corp
SRRK,Scholar Rock Holding Corp
FRGI,Fiesta Restaurant Group Inc
BY,Byline Bancorp Inc
TLRA,Telaria Inc
VRTV,Veritiv Corp
STRL,Sterling Construction Co Inc
DS,Drive Shack Inc
EEX,Emerald Expositions Events I
MOFG,Midwestone Financial Group Inc
UFI,Unifi Inc
CIVB,Civista Bancshares Inc
GSHD,Goosehead Insurance Inc
OMN,Omnova Solutions Inc
BZH,Beazer Homes Usa Inc
ORC,Orchid Island Capital Inc
CALX,Calix Inc
SVRA,Savara Inc
TITN,Titan Machinery Inc
SVMK,Svmk Inc
TAST,Carrols Restaurant Group Inc
PKE,Park Electrochemical Corp
PKOH,Park-Ohio Holdings Corp
MRT,Medequities Realty Trust Inc
PCSB,Pcsb Financial Corp
CATC,Cambridge Bancorp
LXRX,Lexicon Pharmaceuticals Inc
BKS,Barnes & Noble Inc
POWL,Powell Industries Inc
UIHC,United Insurance Holdings Corp
HCI,Hci Group Inc
ECOM,Channeladvisor Corp
NAT,Nordic American Tanker Ltd
GERN,Geron Corp
CENT,Central Garden & Pet Co
CLAR,Clarus Corp
EMCI,Emc Insurance Group Inc
GLRE,Greenlight Capital Re Ltd
EBTC,Enterprise Bancorp Inc
PFIS,Peoples Financial Services Corp
GOGO,Gogo Inc
CYH,Community Health Systems Inc
CSLT,Castlight Health Inc
AGYS,Agilysys Inc
CLW,Clearwater Paper Corp
SMMF,Summit Financial Group Inc
SMTA,Spirit Mta Reit
CMRE,Costamare Inc
TK,Teekay Corp
ARLO,Arlo Technologies Inc
SIGA,Siga Technologies Inc
CCRN,Cross Country Healthcare Inc
AMRC,Ameresco Inc
SONA,Southern National Bancorp Of Virginia Inc
VSLR,Vivint Solar Inc
ARTNA,Artesian Resources Corp
HRTG,Heritage Insurance Holdings Inc
UTMD,Utah Medical Products Inc
HBCP,Home Bancorp Inc
AQ,Aquantia Corp
KRO,Kronos Worldwide Inc
FTSI,Fts International Inc
NKSH,National Bankshares Inc
REI,Ring Energy Inc
PTN,Palatin Technologies Inc
EROS,Eros Intl Plc
HIIQ,Health Insurance Innovations Inc
ELF,E.L.F. Beauty Inc
SGH,Smart Global Holdings Inc
SALT,Scorpio Bulkers Inc
RTIX,Rti Surgical Inc
ASRT,Assertio Therapeutics Inc
TWI,Titan Intl Inc
MCBC,Macatawa Bank Corp
OSTK,Overstock.Com Inc
SYX,Systemax Inc
CDR,Cedar Realty Trust Inc
FMAO,Farmers & Merchants Banco/Oh
CHMI,Cherry Hill Mortgage Investm
TBIO,Translate Bio Inc
FC,Franklin Covey Co
PAR,Par Technology Corp
BATRA,Liberty Braves Group-A
CCXI,Chemocentryx Inc
MCB,Metropolitan Bank Holding Co
RBB,Rbb Bancorp
HONE,Harborone Bancorp Inc
SLP,Simulations Plus Inc
BFST,Business First Bancshares Inc
FNLC,First Bancorp Inc
RMTI,Rockwell Medical Inc
CPRX,Catalyst Pharmaceuticals Inc
AVRO,Avrobio Inc
CNBKA,Century Bancorp Inc
GDEN,Golden Entertainment Inc
GEF.B,Greif Inc
VRA,Vera Bradley Inc
RLGT,Radiant Logistics Inc
EGLE,Eagle Bulk Shipping Inc
DAKT,Daktronics Inc
HMTV,Hemisphere Media Group Inc
BRG,Bluerock Residential Growth Reit Inc
CCBG,Capital City Bank Group Inc
AMOT,Allied Motion Technologies Inc
SPOK,Spok Holdings Inc
IMMR,Immersion Corp
ACNB,Acnb Corp
BIOS,Bioscrip Inc
TGH,Textainer Group Holdings Ltd
BLBD,Blue Bird Corp
HABT,Habit Restaurants Inc/The
TTI,Tetra Technologies Inc
GBLI,Global Indemnity Plc
UPWK,Upwork Inc
OOMA,Ooma Inc
SFST,Southern First Bancshares Inc
HPR,Highpoint Resources Corp
SD,Sandridge Energy Inc
LOVE,Lovesac Co
WHG,Westwood Holdings Group Inc
OPY,Oppenheimer Holdings Inc
FTSV,Forty Seven Inc
RBBN,Ribbon Communications Inc
NCS,Nci Building Systems Inc
BWB,Bridgewater Bancshares Inc
ASC,Ardmore Shipping Corp
AT,Atlantic Power Corp
BCML,Baycom Corp
CUTR,Cutera Inc
LOCO,El Pollo Loco Holdings Inc
RDI,Reading Intl Inc
KZR,Kezar Life Sciences Inc
HIFS,Hingham Institution For Savings
OFLX,Omega Flex Inc
NRIM,Northrim Bancorp Inc
UEC,Uranium Energy Corp
EXPR,Express Inc
AFI,Armstrong Flooring Inc
ONDK,On Deck Capital Inc
ELOX,Eloxx Pharmaceuticals Inc
OMI,Owens & Minor Inc
HURC,Hurco Cos Inc
ABEO,Abeona Therapeutics Inc
UFPT,Ufp Technologies Inc
FNKO,Funko Inc-Class A
AGEN,Agenus Inc
ASPS,Altisource Portfolio Solutions Sa
LNDC,Landec Corp
WNEB,Western New England Bancorp Inc
XXII,22Nd Century Group Inc
DJCO,Daily Journal Corp
RRD,Rr Donnelley & Sons Co
CNTY,Century Casinos Inc
VSEC,Vse Corp
CECE,Ceco Environmental Corp
ATLO,Ames National Corp
AVID,Avid Technology Inc
CVGI,Commercial Vehicle Group Inc
SMBC,Southern Missouri Bancorp Inc
IVC,Invacare Corp
TLYS,Tilly'S Inc
UUUU,Energy Fuels Inc
RM,Regional Management Corp
ADES,Advanced Emissions Solutions Inc
SMBK,Smartfinancial Inc
FLNT,Fluent Inc
ASNA,Ascena Retail Group Inc
ACRS,Aclaris Therapeutics Inc
CVCY,Central Valley Community Bancorp
WOW,Wideopenwest Inc
CDZI,Cadiz Inc
KPTI,Karyopharm Therapeutics Inc
CNCE,Concert Pharmaceuticals Inc
AMBR,Amber Road Inc
BXC,Bluelinx Holdings Inc
RBNC,Reliant Bancorp Inc
AAOI,Applied Optoelectronics Inc
GRBK,Green Brick Partners Inc
SPNE,Seaspine Holdings Corp
PHX,Panhandle Oil And Gas Inc
FBM,Foundation Building Material
NWPX,Northwest Pipe Co
GMRE,Global Medical Reit Inc
VLGEA,Village Super Market Inc
AOSL,Alpha And Omega Semiconductor Ltd
AI,Arlington Asset Investment Corp
AJX,Great Ajax Corp
STXB,Spirit Of Texas Bancshares Inc
EOLS,Evolus Inc
NPTN,Neophotonics Corp
CVTI,Covenant Transportation Group Inc
FTR,Frontier Communications Corp
CTRN,Citi Trends Inc
XERS,Xeris Pharmaceuticals Inc
CULP,Culp Inc
CDMO,Avid Bioservices Inc
ITIC,Investors Title Co
CTO,Consolidated-Tomoka Land Co
CRNX,Crinetics Pharmaceuticals Inc
SFE,Safeguard Scientifics Inc
PICO,Pico Holdings Inc
TNK,Teekay Tankers Ltd
IIIV,I3 Verticals Inc
KDMN,Kadmon Holdings Inc
ADRO,Aduro Biotech Inc
CYCN,Cyclerion Therapeutics Inc
TBNK,Territorial Bancorp Inc
DSKE,Daseke Inc
MGTX,Meiragtx Holdings Plc
MNKD,Mannkind Corp
MG,Mistras Group Inc
LAWS,Lawson Products Inc
SMHI,Seacor Marine Holdings Inc
BELFB,Bel Fuse Inc
INBK,First Internet Bancorp
TSBK,Timberland Bancorp Inc
SBT,Sterling Bancorp Inc
TOCA,Tocagen Inc
OCN,Ocwen Financial Corp
LPG,Dorian Lpg Ltd
UBX,Unity Biotechnology Inc
MRNS,Marinus Pharmaceuticals Inc
GNTY,Guaranty Bancshares Inc
MGTA,Magenta Therapeutics Inc
PETX,Aratana Therapeutics Inc
LCI,Lannett Co Inc
AXTI,Axt Inc
TNAV,Telenav Inc
LBC,Luther Burbank Corp
CBL,Cbl & Associates Properties Inc
TREC,Trecora Resources
FRBK,Republic First Bancorp Inc
DCPH,Deciphera Pharmaceuticals In
ISTR,Investar Holding Corp
AMAL,Amalgamated Bank
WAAS,Aquaventure Holdings Ltd
EVC,Entravision Communications Corp
NERV,Minerva Neurosciences Inc
CTSO,Cytosorbents Corp
TRK,Speedway Motorsports Inc
FSTR,L.B. Foster Co
LKSD,Lsc Communications Inc
RICK,Rci Hospitality Holdings Inc
PCB,Pacific City Financial Corp
SAFE,Safehold Inc
OPTN,Optinose Inc
STIM,Neuronetics Inc
CALA,Calithera Biosciences Inc
FOR,Forestar Group Inc
WEYS,Weyco Group Inc
CVLY,Codorus Valley Bancorp Inc
DFRG,Del Frisco'S Restaurant Group Inc
SENS,Senseonics Holdings Inc
GOSS,Gossamer Bio Inc
NGS,Natural Gas Services Group Inc
FBIZ,First Business Financial Services Inc
ZAGG,Zagg Inc
FSBW,Fs Bancorp Inc
NATH,Nathan'S Famous Inc
ENFC,Entegra Financial Corp
AXAS,Abraxas Petroleum Corp
SGRY,Surgery Partners Inc
SHBI,Shore Bancshares Inc
CNST,Constellation Pharmaceuticals Inc
GHM,Graham Corp
PFBI,Premier Financial Bancorp Inc
HBMD,Howard Bancorp Inc
IIN,Intricon Corp
QTRX,Quanterix Corp
SIEN,Sientra Inc
RGCO,Rgc Resources Inc
FCBP,First Choice Bancorp
PWOD,Penns Woods Bancorp Inc
CLPR,Clipper Realty Inc
CBMG,Cellular Biomedicine Group Inc
ULH,Universal Truckload Services Inc
FPI,Farmland Partners Inc
MRLN,Marlin Business Services Corp
YRCW,Yrc Worldwide Inc
CWCO,Consolidated Water Co Ltd
BFIN,Bankfinancial Corp
BREW,Craft Brew Alliance Inc
FTK,Flotek Industries Inc
MXWL,Maxwell Technologies Inc
NWFL,Norwood Financial Corp
REPL,Replimune Group Inc
NC,Nacco Industries Inc
MSL,Midsouth Bancorp Inc
CCO,Clear Channel Outdoor Holdings Inc
IOTS,Adesto Technologies Corp
BGSF,Bg Staffing Inc
FRBA,First Bank
LQDT,Liquidity Services Inc
REV,Revlon Inc
BWFG,Bankwell Financial Group Inc
ATHX,Athersys Inc
EPM,Evolution Petroleum Corp
RUSHB,Rush Enterprises Inc
TTS,Tile Shop Holdings Inc
EGAN,Egain Corp
SLCT,Select Bancorp Inc
CASA,Casa Systems Inc
LAND,Gladstone Land Corp
TPCO,Tribune Publishing Co
SENEA,Seneca Foods Corp
TUSK,Mammoth Energy Services Inc
CDXC,Chromadex Corp
GORO,Gold Resource Corp
BCBP,Bcb Bancorp Inc
KNSA,Kiniksa Pharmaceuticals Ltd
PZN,Pzena Investment Management Inc
BSET,Bassett Furniture Industries Inc
ERA,Era Group Inc
MFSF,Mutualfirst Financial Inc
RYI,Ryerson Holding Corp
FNHC,Federated National Holding Co
PCYO,Pure Cycle Corp
FARM,Farmer Bros. Co
RCKY,Rocky Brands Inc
LE,Lands End Inc
ESXB,Community Bankers Trust Corp
PRNB,Principia Biopharma Inc
SYRS,Syros Pharmaceuticals Inc
NIHD,Nii Holdings Inc
HK,Halcon Resources Corp
CASI,Casi Pharmaceuticals Inc
EVBN,Evans Bancorp Inc
ALDX,Aldeyra Therapeutics Inc
IHC,Independence Holding Co
AXNX,Axonics Modulation Technolog
BPRN,Bank Of Princeton
SBBX,Sb One Bancorp
SONO,Sonos Inc
RVSB,Riverview Bancorp Inc
PRTK,Paratek Pharmaceuticals Inc
GNC,Gnc Holdings Inc
USLM,United States Lime & Minerals Inc
GPX,Gp Strategies Corp
PFNX,Pfenex Inc
BOCH,Bank Of Commerce Holdings
REPH,Recro Pharma Inc
FDBC,Fidelity D&D Bancorp Inc
ENZ,Enzo Biochem Inc
ARVN,Arvinas Inc
NBN,Northeast Bancorp
XELA,Exela Technologies Inc
MLVF,Malvern Bancorp Inc
LJPC,La Jolla Pharmaceutical Co
PIRS,Pieris Pharmaceuticals Inc
PRGX,Prgx Global Inc
CLFD,Clearfield Inc
SPWH,Sportsman'S Warehouse Holdings Inc
TYME,Tyme Technologies Inc
CHMG,Chemung Financial Corp
UNTY,Unity Bancorp Inc
ODC,Oil-Dri Corp Of America
BNED,Barnes & Noble Education Inc
CFFI,C&F Financial Corp
SIFI,Si Financial Group Inc
KVHI,Kvh Industries Inc
SCWX,Secureworks Corp
AMRS,Amyris Inc
SYNL,Synalloy Corp
DF,Dean Foods Co
YMAB,Y-Mabs Therapeutics Inc
NODK,Ni Holdings Inc
PYX,Pyxus International Inc
WLFC,Willis Lease Finance Corp
MPO,Midstates Petroleum Co Inc
PLPC,Preformed Line Products Co
PTVCB,Protective Insurance Corp- B
TIPT,Tiptree Financial Inc
MDCA,Mdc Partners Inc
ACMR,Acm Research Inc
LCNB,Lcnb Corp
PKBK,Parke Bancorp Inc
PBPB,Potbelly Corp
OVBC,Ohio Valley Banc Corp
NVAX,Novavax Inc
ORRF,Orrstown Financial Services Inc
ACTG,Acacia Research Corp
PBIP,Prudential Bancorp Inc
STRS,Stratus Properties Inc
SIBN,Si-Bone Inc
ZEUS,Olympic Steel Inc
FLXS,Flexsteel Industries Inc
SFS,Smart & Final Stores Inc
IESC,Ies Holdings Inc
FNWB,First Northwest Bancorp
CUE,Cue Biopharma Inc
LIVX,Livexlive Media Inc
INWK,Innerworkings Inc
TCFC,Community Financial Corp/The
TWIN,Twin Disc Inc
SGC,Superior Uniform Group Inc
ESSA,Essa Bancorp Inc
UNB,Union Bankshares Inc
EML,Eastern Co/The
ESQ,Esquire Financial Holdings Inc
FCCY,1St Constitution Bancorp
HALL,Hallmark Financial Services Inc
TCS,Container Store Group Inc
ARDX,Ardelyx Inc
EVI,Evi Industries Inc
MVBF,Mvb Financial Corp
ODT,Odonate Therapeutics Inc
BRT,Brt Apartments Corp
JAX,J Alexanders Holdings Inc
